"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"API Testing","Improved API Tests","Get All Users","0","0","1","0","0"
"ReqRes API Testing","Realistic API Practice Tests","Users API","0","0","5","0","0"
"API Testing","Working API Tests","Stable API Tests with Real Endpoints","0","0","14","0","0"
"API Testing","Comments API Tests","Comments Performance Tests","0","0","2","0","0"
"API Testing","Comments API Tests","Comments Parameterized Tests","0","0","10","0","0"
"API Testing","Improved API Tests","Performance Test","0","0","1","0","0"
"API Testing","Extended API Tests","Positive Tests","0","0","6","0","0"
"JSONPlaceholder API Testing","REST API Practice Tests","Posts API","0","0","5","0","0"
"API Testing","Extended API Tests","Parameterized Tests","0","0","10","0","0"
"API Testing","Extended API Tests","Performance Tests","0","0","2","0","0"
"API Testing","Improved API Tests","Parameterized Users","0","0","5","0","0"
"API Testing","Improved API Tests","Parameterized Posts","0","0","5","0","0"
"API Testing","Comments API Tests","Comments Positive Tests","0","0","5","0","0"
"API Testing","Improved API Tests","Retry Test","0","0","1","0","0"
"API Testing","Extended API Tests","Negative Tests","0","0","5","0","0"
"API Testing","Improved Stable API Tests","Stable Parameterized Posts","0","0","5","0","0"
"ReqRes API Testing","Realistic API Practice Tests","Register API","0","0","1","0","0"
"API Testing","Comments API Tests","Comments Negative Tests","0","0","4","0","0"
"JSONPlaceholder API Testing","REST API Practice Tests","Albums API","0","0","1","0","0"
"ReqRes API Testing","Realistic API Practice Tests","Login API","0","0","2","0","0"
"API Testing","Improved Stable API Tests","Stable Get Post","0","0","1","0","0"
"ReqRes API Testing","Realistic API Practice Tests","Resources API","0","0","2","0","0"
"API Testing","Improved Stable API Tests","Invalid Data Test","0","0","1","0","0"
"JSONPlaceholder API Testing","REST API Practice Tests","Photos API","0","0","1","0","0"
"API Testing","Improved Quality API Tests","Quality API Testing","0","0","7","0","0"
"API Testing","Comments API Tests","Comments Contract Tests","0","0","2","0","0"
"API Testing","Improved Stable API Tests","Stable Create Post","0","0","1","0","0"
"JSONPlaceholder API Testing","REST API Practice Tests","Users API","0","0","1","0","0"
"API Testing","Basic API Tests","Get Users","0","0","1","0","0"
"JSONPlaceholder API Testing","REST API Practice Tests","Comments API","0","0","1","0","0"
"API Testing","Improved API Tests","Create Post","0","0","1","0","0"
"API Testing","Extended API Tests","Contract Tests","0","0","2","0","0"
"JSONPlaceholder API Testing","REST API Practice Tests","Todos API","0","0","1","0","0"
"API Testing","Basic API Tests","Get Post","0","0","1","0","0"
"API Testing","Improved Stable API Tests","Error Handling Test","0","0","1","0","0"
"API Testing","Improved API Tests","Improved Get Post","0","0","1","0","0"
"API Testing","Improved Stable API Tests","Stable Get All Users","0","0","1","0","0"
"Performance Testing","API Performance Tests","API Performance","0","0","3","0","0"
"Performance Testing","API Performance Tests","Load Testing","0","0","1","0","0"
"Security Testing","API Security Tests","XSS Protection","0","0","1","0","0"
"Security Testing","API Security Tests","Security Headers","0","0","1","0","0"
"Security Testing","API Security Tests","Authentication","0","0","1","0","0"
"Security Testing","API Security Tests","Rate Limiting","0","0","1","0","0"
"Security Testing","API Security Tests","HTTPS Security","0","0","1","0","0"
"Security Testing","API Security Tests","SQL Injection Protection","0","0","1","0","0"
